No	Time[sec]	VOLT[V]	CURR[A]
337	72	0.3	6.12349e-006
338	73	0.3	6.14874e-006
339	73	0.3	5.64779e-006
340	73	0.3	6.31957e-006
341	73	0.3	6.12753e-006
342	73	0.3	5.62488e-006
343	74	0.3	5.99719e-006
344	74	0.3	6.03756e-006
345	74	0.3	6.01018e-006
346	74	0.3	6.06932e-006
347	75	0.3	6.1228e-006
348	75	0.3	6.04843e-006
349	75	0.3	5.9663e-006
350	75	0.35	6.7029e-006
351	75	0.35	6.6522e-006
352	76	0.35	6.63528e-006
353	76	0.35	7.02871e-006
354	76	0.35	7.07692e-006
355	76	0.35	7.24456e-006
356	76	0.35	7.22035e-006
357	77	0.35	7.28201e-006
358	77	0.35	6.84699e-006
359	77	0.35	6.68924e-006
360	77	0.35	6.81746e-006
361	77	0.35	6.72822e-006
362	78	0.35	6.59158e-006
363	78	0.35	6.37902e-006
364	78	0.35	6.64527e-006
365	78	0.35	6.44491e-006
366	78	0.35	6.60404e-006
367	79	0.35	6.60559e-006
368	79	0.35	6.56699e-006
369	79	0.35	6.58835e-006
370	79	0.35	6.72089e-006
371	79	0.35	6.98175e-006
372	80	0.35	6.92161e-006
373	80	0.35	6.85452e-006
374	80	0.35	6.86753e-006
375	80	0.35	6.67144e-006
376	81	0.35	6.77419e-006
377	81	0.35	6.71483e-006
378	81	0.35	6.71125e-006
379	81	0.35	6.65972e-006
380	81	0.35	6.71473e-006
381	82	0.35	6.7783e-006
382	82	0.35	6.77797e-006
383	82	0.35	6.76855e-006
384	82	0.35	6.80352e-006
385	82	0.35	6.85171e-006
386	83	0.35	6.86364e-006
387	83	0.35	6.85915e-006
388	83	0.35	6.85552e-006
389	83	0.35	6.75855e-006
390	83	0.35	6.8976e-006
391	84	0.35	6.78261e-006
392	84	0.35	6.78792e-006
393	84	0.35	6.64576e-006
394	84	0.35	6.75157e-006
395	84	0.35	6.49803e-006
396	85	0.35	6.70914e-006
397	85	0.35	6.66713e-006
398	85	0.35	6.52732e-006
399	85	0.35	6.76358e-006
400	85	0.4	7.81053e-006
401	86	0.4	7.75262e-006
402	86	0.4	7.84486e-006
403	86	0.4	7.66788e-006
404	86	0.4	7.54445e-006
405	86	0.4	7.6211e-006
406	87	0.4	7.77605e-006
407	87	0.4	7.79964e-006
408	87	0.4	7.76282e-006
