No	Time[sec]	VOLT[V]	CURR[A]
288	60	0.55	2.47067e-010
289	60	0.55	2.32182e-010
290	60	0.55	2.62416e-010
291	60	0.55	2.65621e-010
292	61	0.55	3.09643e-010
293	61	0.55	3.50588e-010
294	61	0.55	4.14513e-010
295	61	0.55	4.32223e-010
296	61	0.55	6.1679e-010
297	62	0.55	7.79218e-010
298	62	0.55	9.79217e-010
299	62	0.55	1.06212e-009
300	62	0.6	1.31588e-009
301	62	0.6	2.43989e-009
302	63	0.6	3.09395e-009
303	63	0.6	4.28003e-009
304	63	0.6	8.97283e-009
305	63	0.6	1.44447e-008
306	63	0.6	2.42995e-008
307	64	0.6	4.41937e-008
308	64	0.6	5.36263e-008
309	64	0.6	5.74582e-008
310	64	0.6	8.07751e-008
311	64	0.6	1.02709e-007
312	65	0.6	1.46546e-007
313	65	0.6	2.62033e-007
314	65	0.6	5.1418e-007
315	65	0.6	8.76011e-007
316	65	0.6	8.18794e-007
317	66	0.6	1.24305e-006
318	66	0.6	1.51004e-006
319	66	0.6	2.08785e-006
320	66	0.6	2.17659e-006
321	66	0.6	2.43626e-006
322	67	0.6	4.94072e-006
323	67	0.6	4.79306e-006
324	67	0.6	6.19017e-006
325	67	0.65	1.58162e-005
326	68	0.65	1.62376e-005
327	68	0.65	1.62888e-005
328	68	0.65	1.64229e-005
329	68	0.65	1.6716e-005
330	68	0.65	1.67296e-005
331	69	0.65	1.666e-005
332	69	0.65	1.67122e-005
333	69	0.65	1.66716e-005
334	69	0.65	1.67326e-005
335	69	0.65	1.70173e-005
336	70	0.65	1.69882e-005
337	70	0.65	1.69964e-005
338	70	0.65	1.69979e-005
339	70	0.65	1.70109e-005
340	70	0.65	1.6879e-005
341	71	0.65	1.66632e-005
342	71	0.65	1.56696e-005
343	71	0.65	1.19836e-005
344	71	0.65	1.09911e-008
345	71	0.65	1.03235e-008
346	72	0.65	8.93108e-009
347	72	0.65	8.87647e-009
348	72	0.65	9.81942e-009
349	72	0.65	8.40534e-009
350	72	0.7	1.14297e-008
351	73	0.7	7.7934e-009
352	73	0.7	7.77608e-009
353	73	0.7	6.71178e-009
354	73	0.7	6.81989e-009
355	73	0.7	5.3165e-009
356	74	0.7	4.6191e-009
357	74	0.7	5.73206e-009
358	74	0.7	6.5348e-009
359	74	0.7	6.52936e-009
360	74	0.7	5.23381e-009
361	75	0.7	5.33409e-009
362	75	0.7	5.10718e-009
363	75	0.7	5.82617e-009
364	75	0.7	5.95951e-009
365	75	0.7	7.92391e-009
366	76	0.7	8.35537e-009
367	76	0.7	6.33121e-009
368	76	0.7	6.88204e-009
369	76	0.7	8.06593e-009
370	77	0.7	1.02074e-008
371	77	0.7	1.31106e-008
372	77	0.7	1.64935e-008
373	77	0.7	1.00092e-008
374	77	0.7	1.09498e-008
375	78	0.75	7.89224e-009
376	78	0.75	1.11339e-008
377	78	0.75	1.37014e-008
378	78	0.75	1.56794e-008
379	78	0.75	1.63781e-008
380	79	0.75	2.15155e-008
381	79	0.75	2.31052e-008
382	79	0.75	2.7929e-008
383	79	0.75	3.46921e-008
384	79	0.75	4.21338e-008
385	80	0.75	5.1202e-008
386	80	0.75	5.17072e-008
387	80	0.75	5.69665e-008
388	80	0.75	4.73833e-008
389	80	0.75	5.23286e-008
390	81	0.75	3.58371e-008
391	81	0.75	3.36999e-008
392	81	0.75	3.63924e-008
393	81	0.75	2.9489e-008
394	81	0.75	2.9463e-008
395	82	0.75	3.0318e-008
396	82	0.75	3.27655e-008
397	82	0.75	3.48714e-008
398	82	0.75	2.7357e-008
399	82	0.75	2.98494e-008
400	83	0.8	3.05108e-008
401	83	0.8	3.01929e-008
402	83	0.8	2.74866e-008
403	83	0.8	2.86021e-008
404	83	0.8	2.39408e-008
405	84	0.8	2.43137e-008
406	84	0.8	2.18729e-008
407	84	0.8	2.29597e-008
408	84	0.8	2.57877e-008
409	85	0.8	2.06629e-008
410	85	0.8	1.9755e-008
411	85	0.8	2.2256e-009
412	85	0.8	3.61551e-010
413	85	0.8	3.29799e-010
414	86	0.8	3.29335e-010
415	86	0.8	3.12932e-010
416	86	0.8	3.2963e-010
417	86	0.8	3.27901e-010
418	86	0.8	3.81412e-010
419	87	0.8	3.17992e-010
420	87	0.8	3.17992e-010
421	87	0.8	3.65262e-010
422	87	0.8	3.53877e-010
423	87	0.8	4.07387e-010
424	88	0.8	3.87526e-010
425	88	0.85	4.23157e-010
426	88	0.85	3.81496e-010
427	88	0.85	3.28239e-010
428	88	0.85	3.02053e-010
429	89	0.85	3.75888e-010
430	89	0.85	3.68593e-010
431	89	0.85	3.35576e-010
432	89	0.85	3.32287e-010
433	89	0.85	2.22779e-010
434	90	0.85	2.13375e-010
435	90	0.85	1.95792e-010
436	90	0.85	1.9634e-010
437	90	0.85	1.83057e-010
438	90	0.85	1.63998e-010
439	91	0.85	1.6075e-010
440	91	0.85	1.54552e-010
441	91	0.85	1.54889e-010
442	91	0.85	1.45612e-010
443	92	0.85	1.56281e-010
444	92	0.85	1.55775e-010
445	92	0.85	1.48733e-010
446	92	0.85	1.56028e-010
447	92	0.85	1.63365e-010
448	93	0.85	1.58474e-010
449	93	0.85	1.45865e-010
450	93	0.9	1.73822e-010
451	93	0.9	1.62015e-010
452	93	0.9	1.70618e-010
453	94	0.9	1.75172e-010
454	94	0.9	1.89888e-010
455	94	0.9	1.62817e-010
456	94	0.9	1.54974e-010
457	94	0.9	1.46835e-010
458	95	0.9	1.56829e-010
459	95	0.9	1.49956e-010
460	95	0.9	1.53371e-010
461	95	0.9	1.70154e-010
462	95	0.9	1.73822e-010
463	96	0.9	1.78714e-010
464	96	0.9	4.78059e-010
465	96	0.9	4.77848e-010
466	96	0.9	4.89149e-010
467	97	0.9	5.19215e-010
468	97	0.9	5.3216e-010
469	97	0.9	5.54003e-010
470	97	0.9	4.77849e-010
471	97	0.9	4.9695e-010
472	98	0.9	5.31654e-010
473	98	0.9	6.32939e-010
474	98	0.9	5.37515e-010
475	98	0.95	5.23516e-010
476	98	0.95	6.2653e-010
477	99	0.95	5.39286e-010
478	99	0.95	4.58536e-010
479	99	0.95	5.08293e-010
480	99	0.95	4.59421e-010
481	99	0.95	4.96486e-010
482	100	0.95	4.6427e-010
483	100	0.95	5.12847e-010
484	100	0.95	5.06185e-010
485	100	0.95	5.10401e-010
486	100	0.95	4.14429e-010
487	101	0.95	4.60096e-010
488	101	0.95	3.88791e-010
489	101	0.95	3.92881e-010
490	101	0.95	4.65451e-010
491	101	0.95	4.63596e-010
492	102	0.95	5.16474e-010
493	102	0.95	5.04161e-010
494	102	0.95	3.34058e-010
495	102	0.95	3.16053e-010
496	103	0.95	3.50546e-010
497	103	0.95	3.19637e-010
498	103	0.95	3.09011e-010
499	103	0.95	2.86283e-010
500	103	1	3.30094e-010
501	104	1	3.34522e-010
502	104	1	3.14745e-010
503	104	1	3.15167e-010
504	104	1	3.05806e-010
505	104	1	3.05511e-010
506	105	1	3.26595e-010
507	105	1	3.30137e-010
508	105	1	3.2963e-010
509	105	1	3.23263e-010
510	105	1	3.2107e-010
511	106	1	3.38949e-010
512	106	1	3.0142e-010
513	106	1	2.92987e-010
514	106	1	3.20016e-010
515	106	1	3.0433e-010
516	107	1	3.26341e-010
517	107	1	3.18962e-010
518	107	1	3.35534e-010
519	107	1	3.33004e-010
520	107	1	3.21071e-010
521	108	1	3.19173e-010
522	108	1	3.35492e-010
523	108	1	3.51431e-010
524	108	1	3.45738e-010
525	108	1.05	4.1523e-010
526	109	1.05	3.90183e-010
527	109	1.05	4.09875e-010
528	109	1.05	3.65684e-010
529	109	1.05	4.31844e-010
530	109	1.05	4.21302e-010
531	110	1.05	6.12066e-010
532	110	1.05	5.26045e-010
533	110	1.05	5.59147e-010
534	110	1.05	4.77553e-010
535	110	1.05	4.39181e-010
536	111	1.05	4.75234e-010
537	111	1.05	5.3313e-010
538	111	1.05	5.51388e-010
539	111	1.05	5.70827e-010
540	111	1.05	6.06669e-010
541	112	1.05	6.46433e-010
542	112	1.05	6.37452e-010
543	112	1.05	6.44325e-010
544	112	1.05	7.24317e-010
545	113	1.05	7.74284e-010
546	113	1.05	8.39264e-010
547	113	1.05	8.49384e-010
548	113	1.05	8.63763e-010
549	113	1.05	1.04622e-009
550	114	1.1	1.11913e-009
551	114	1.1	1.42244e-009
552	114	1.1	1.46233e-009
553	114	1.1	1.4722e-009
554	114	1.1	1.65739e-009
555	115	1.1	1.73966e-009
556	115	1.1	4.26013e-009
557	115	1.1	2.58313e-009
558	115	1.1	2.60122e-009
559	115	1.1	2.19604e-009
560	116	1.1	6.74458e-009
561	116	1.1	2.98613e-009
562	116	1.1	3.82846e-009
563	116	1.1	4.24347e-009
564	116	1.1	2.91845e-009
565	117	1.1	3.63896e-009
566	117	1.1	2.83382e-009
567	117	1.1	3.56281e-009
568	117	1.1	3.55956e-009
569	117	1.1	4.16146e-009
570	118	1.1	3.91431e-009
571	118	1.1	4.28441e-009
572	118	1.1	7.30823e-009
573	118	1.1	5.37414e-009
574	119	1.1	4.8872e-009
575	119	1.15	1.02573e-008
576	119	1.15	9.55706e-009
577	119	1.15	8.9219e-009
578	119	1.15	1.0089e-008
579	120	1.15	8.32248e-009
580	120	1.15	9.82148e-009
581	120	1.15	8.40214e-009
582	120	1.15	1.61812e-008
583	120	1.15	1.76343e-008
584	121	1.15	1.29358e-008
585	121	1.15	1.85567e-008
586	121	1.15	4.76704e-007
587	121	1.15	1.06946e-007
588	121	1.15	2.91756e-007
589	122	1.15	2.44475e-007
590	122	1.15	8.51093e-008
591	122	1.15	2.73033e-007
592	122	1.15	2.05545e-007
593	122	1.15	1.22115e-007
594	123	1.15	1.63029e-007
595	123	1.15	7.19503e-008
596	123	1.15	6.45791e-008
597	123	1.15	1.03983e-007
598	123	1.15	1.38657e-007
599	124	1.15	1.96257e-007
600	124	1.2	2.67039e-007
601	124	1.2	2.7943e-007
602	124	1.2	3.26303e-007
603	124	1.2	5.62578e-007
604	125	1.2	6.32919e-007
605	125	1.2	7.41398e-007
606	125	1.2	9.77911e-007
607	125	1.2	1.14071e-006
608	126	1.2	1.67263e-006
609	126	1.2	1.91042e-006
610	126	1.2	3.61856e-006
611	126	1.2	3.04685e-006
612	126	1.2	0.000385429
613	127	1.2	0.000408104
614	127	1.2	0.000425323
615	127	1.2	0.00043859
616	127	1.2	0.000447605
617	127	1.2	0.000450237
618	128	1.2	0.000456384
619	128	1.2	0.000459492
620	128	1.2	0.000461842
621	128	1.2	0.000466602
622	128	1.2	0.00046801
623	129	1.2	0.00046635
624	129	1.2	0.000413479
625	129	1.25	0.000454166
626	129	1.25	0.000399605
627	129	1.25	0.000488226
628	130	1.25	0.000495834
629	130	1.25	0.000497188
630	130	1.25	0.000498983
631	130	1.25	0.00049944
632	130	1.25	0.000500651
633	131	1.25	0.000500814
634	131	1.25	0.000500159
635	131	1.25	0.00050199
636	131	1.25	0.00050053
637	131	1.25	0.000502766
638	132	1.25	0.000502634
639	132	1.25	0.000501796
640	132	1.25	0.000502196
641	132	1.25	0.000500307
642	133	1.25	0.000500301
643	133	1.25	0.000497548
644	133	1.25	0.000497299
645	133	1.25	0.000491186
646	133	1.25	0.000487813
647	134	1.25	0.000478511
648	134	1.25	0.000469051
649	134	1.25	0.000466363
650	134	1.3	0.000456581
651	134	1.3	0.00050572
652	135	1.3	0.000508677
653	135	1.3	0.000508071
654	135	1.3	0.000498149
655	135	1.3	0.000485484
656	135	1.3	0.000506325
657	136	1.3	0.000495751
658	136	1.3	0.000468723
659	136	1.3	0.000191296
660	136	1.3	0.00020941
661	136	1.3	0.000218647
662	137	1.3	0.000216495
663	137	1.3	0.000220067
664	137	1.3	0.000219462
665	137	1.3	0.000216678
666	138	1.3	0.000210373
667	138	1.3	0.000190042
668	138	1.3	0.000191408
669	138	1.3	0.000204072
670	138	1.3	0.000205157
671	139	1.3	0.000201891
672	139	1.3	0.000202482
673	139	1.3	0.000207558
674	139	1.3	0.000206721
675	139	1.35	0.000215468
676	140	1.35	0.000205893
677	140	1.35	0.000224537
678	140	1.35	0.000233481
679	140	1.35	0.000243515
680	140	1.35	0.000245821
681	141	1.35	0.000247765
682	141	1.35	0.000252374
683	141	1.35	0.000255466
684	141	1.35	0.000272182
685	141	1.35	0.000282643
686	142	1.35	0.00031116
687	142	1.35	0.000375906
688	142	1.35	0.000405924
689	142	1.35	0.000423904
690	142	1.35	0.000421155
691	143	1.35	0.000424498
692	143	1.35	0.000431489
693	143	1.35	0.000436763
694	143	1.35	0.00043085
695	143	1.35	0.000438018
696	144	1.35	0.000433393
697	144	1.35	0.000438337
698	144	1.35	0.000437471
699	144	1.35	0.000427261
700	145	1.4	0.000440219
701	145	1.4	0.000446802
702	145	1.4	0.000445565
703	145	1.4	0.000449364
704	145	1.4	0.000449053
705	146	1.4	0.000451907
706	146	1.4	0.000451453
707	146	1.4	0.000448721
708	146	1.4	0.000446008
709	146	1.4	0.000416972
710	147	1.4	0.000377749
711	147	1.4	0.000437953
712	147	1.4	0.000449396
713	147	1.4	0.000458576
714	147	1.4	0.000461033
715	148	1.4	0.00046198
716	148	1.4	0.000465566
717	148	1.4	0.000465242
718	148	1.4	0.000465377
719	148	1.4	0.000463781
720	149	1.4	0.000465956
721	149	1.4	0.000458338
722	149	1.4	0.000455002
723	149	1.4	0.000451539
724	149	1.4	0.000450847
725	150	1.45	0.000468755
726	150	1.45	0.000468052
727	150	1.45	0.000501849
728	150	1.45	0.000452064
729	150	1.45	0.00044538
730	151	1.45	0.000438799
731	151	1.45	0.000429433
732	151	1.45	0.000427578
733	151	1.45	0.000444726
734	151	1.45	0.000445256
735	152	1.45	0.000447983
736	152	1.45	0.000443764
737	152	1.45	0.000441869
738	152	1.45	0.000443118
739	153	1.45	0.000449483
740	153	1.45	0.000456199
741	153	1.45	0.000458162
742	153	1.45	0.000486113
743	153	1.45	0.000452137
744	154	1.45	0.000435633
745	154	1.45	0.000441609
746	154	1.45	0.000437502
747	154	1.45	0.00043333
748	154	1.45	0.000448112
749	155	1.45	0.000452773
750	155	1.5	0.000460283
751	155	1.5	0.000454329
752	155	1.5	0.000491694
753	155	1.5	0.000501119
754	156	1.5	0.000510695
755	156	1.5	0.000516801
756	156	1.5	0.000519548
757	156	1.5	0.000525611
758	157	1.5	0.000531978
759	157	1.5	0.000537011
760	157	1.5	0.000543922
761	157	1.5	0.000543148
762	157	1.5	0.000544826
763	158	1.5	0.000542528
764	158	1.5	0.000543212
765	158	1.5	0.000544304
766	158	1.5	0.000544837
767	158	1.5	0.00054449
768	159	1.5	0.000542797
769	159	1.5	0.000544131
770	159	1.5	0.000544235
771	159	1.5	0.000543559
772	159	1.5	0.000545808
773	160	1.5	0.000542669
774	160	1.5	0.000541068
775	160	1.55	0.00055709
776	160	1.55	0.000554917
777	160	1.55	0.000551171
778	161	1.55	0.000536806
779	161	1.55	0.000539743
780	161	1.55	0.000533112
781	161	1.55	0.000513427
782	161	1.55	0.000539107
783	162	1.55	0.000527472
784	162	1.55	0.00050807
785	162	1.55	0.000524809
786	162	1.55	0.000491601
787	162	1.55	3.73974e-009
788	163	1.55	3.16268e-009
789	163	1.55	3.17377e-009
790	163	1.55	3.35581e-009
791	163	1.55	3.61104e-009
792	163	1.55	3.70546e-009
793	164	1.55	4.1308e-009
794	164	1.55	3.65503e-009
795	164	1.55	2.96209e-009
796	164	1.55	3.04571e-009
797	165	1.55	2.70284e-009
798	165	1.55	2.98541e-009
799	165	1.55	2.63702e-009
800	165	1.6	2.75214e-009
801	165	1.6	2.86667e-009
802	166	1.6	2.87966e-009
803	166	1.6	3.13793e-009
804	166	1.6	3.0105e-009
805	166	1.6	3.12659e-009
806	166	1.6	3.10184e-009
807	167	1.6	3.26798e-009
808	167	1.6	3.42918e-009
809	167	1.6	3.4708e-009
810	167	1.6	3.21539e-009
811	167	1.6	3.18583e-009
812	168	1.6	2.93797e-009
813	168	1.6	3.323e-009
814	168	1.6	3.13974e-009
815	168	1.6	3.37002e-009
816	168	1.6	3.62201e-009
817	169	1.6	3.45351e-009
818	169	1.6	3.64157e-009
819	169	1.6	3.6775e-009
820	169	1.6	3.64807e-009
821	169	1.6	4.0522e-009
822	170	1.6	3.85305e-009
823	170	1.6	3.5976e-009
824	170	1.6	3.45427e-009
825	170	1.65	3.57575e-009
826	170	1.65	3.67864e-009
827	171	1.65	3.67644e-009
828	171	1.65	3.47329e-009
829	171	1.65	3.31883e-009
830	171	1.65	3.38343e-009
831	172	1.65	3.63618e-009
832	172	1.65	3.22732e-009
833	172	1.65	3.6447e-009
834	172	1.65	3.72321e-009
835	172	1.65	3.61113e-009
836	173	1.65	3.55783e-009
837	173	1.65	5.3736e-009
838	173	1.65	3.76002e-009
839	173	1.65	3.82289e-009
840	173	1.65	4.02724e-009
841	174	1.65	3.71292e-009
842	174	1.65	3.69061e-009
843	174	1.65	3.59793e-009
844	174	1.65	4.27526e-009
845	174	1.65	4.45098e-009
846	175	1.65	4.30854e-009
847	175	1.65	5.43478e-009
848	175	1.65	5.92615e-009
849	175	1.65	5.07644e-009
850	175	1.7	5.46653e-009
851	176	1.7	5.84701e-009
852	176	1.7	5.65316e-009
853	176	1.7	5.19729e-009
854	176	1.7	4.82331e-009
855	176	1.7	5.37959e-009
856	177	1.7	4.71714e-009
857	177	1.7	5.14577e-009
858	177	1.7	5.0185e-009
859	177	1.7	5.4511e-009
860	177	1.7	5.55858e-009
861	178	1.7	5.21791e-009
862	178	1.7	6.77907e-009
863	178	1.7	8.18746e-009
864	178	1.7	7.91561e-009
865	179	1.7	7.77915e-009
866	179	1.7	9.89747e-009
867	179	1.7	1.26889e-008
868	179	1.7	1.01642e-008
869	179	1.7	9.83059e-009
870	180	1.7	1.01444e-008
871	180	1.7	1.02282e-008
872	180	1.7	9.59192e-009
873	180	1.7	1.05479e-008
874	180	1.7	1.00678e-008
875	181	1.75	1.35578e-008
876	181	1.75	1.4056e-008
877	181	1.75	1.22868e-008
878	181	1.75	1.26704e-008
879	181	1.75	1.12593e-008
880	182	1.75	1.20319e-008
881	182	1.75	1.28443e-008
882	182	1.75	1.25143e-008
883	182	1.75	1.19528e-008
884	182	1.75	1.36243e-008
885	183	1.75	1.23653e-008
886	183	1.75	1.16454e-008
887	183	1.75	1.26855e-008
888	183	1.75	1.20744e-008
889	183	1.75	1.23502e-008
890	184	1.75	1.25831e-008
891	184	1.75	0.000608121
892	184	1.75	0.000534023
893	184	1.75	1.8773e-007
894	185	1.75	1.17697e-007
